Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
PZZA,"Papa John's Intl",87.54,0.28,+0.32%,87.49,88.2,86.69,145400,12/24/20
QADA,"Qad Inc",62,-0.1,-0.16%,62.45,62.45,61.46,9900,12/24/20
QCRH,"Qcr Holdings Inc",39.7,-0.16,-0.40%,40.03,40.03,39.02,14100,12/24/20
QLYS,"Qualys Inc",120.36,-2.13,-1.74%,123.45,124.85,120.15,167900,12/24/20
QMCO,"Quantum Corp",5.91,-0.26,-4.21%,6.17,6.25,5.86,72100,12/24/20
QNST,"Quinstreet Inc",22.34,0.54,+2.48%,21.93,22.38,21.33,227100,12/24/20
QTNT,"Quotient Ltd Ord",5.71,0.17,+3.07%,5.6,5.79,5.45,876700,12/24/20
QTRX,"Quanterix Corp",45.94,-1.83,-3.83%,48.15,48.38,45.85,118500,12/24/20
QTS,"Qts Realty Trust Inc",61.57,-0.99,-1.58%,62.9,63.18,61.01,288000,12/24/20
QTWO,"Q2 Holdings Inc",128.13,-0.46,-0.36%,128.41,129.54,127.51,99900,12/24/20
QUAD,"Quad Graphics Inc",3.52,-0.04,-1.12%,3.55,3.64,3.41,85400,12/24/20
QUOT,"Quotient Technology Inc",9.65,-0.03,-0.31%,9.66,9.69,9.53,98700,12/24/20
RAD,"Rite Aid Corp",17.78,-0.68,-3.68%,18.41,18.69,17.76,1640200,12/24/20
RAMP,"Liveramp Holdings Inc",72.25,0.44,+0.61%,71.74,72.43,71.54,136800,12/24/20
RAPT,"Rapt Therapeutics Inc",21.41,-1.21,-5.35%,22.99,23.52,21.38,110100,12/24/20
RARE,"Ultragenyx Pharmaceu",172.87,-4.52,-2.55%,179.09,179.65,168.76,157200,12/24/20
RAVN,"Raven Industries Inc",33.09,-0.54,-1.61%,33.66,33.71,32.6,87600,12/24/20
RBB,"Rbb Bancorp",15.38,-0.22,-1.41%,15.6,15.78,15.36,14500,12/24/20
RBBN,"Ribbon Communications Inc",6.61,0,0.00%,6.69,6.73,6.49,146800,12/24/20
RBCAA,"Republic Bancorp Inc",36.35,-0.05,-0.14%,36.33,36.49,36.32,2400,12/24/20
RBNC,"Reliant Bancorp Inc",18.43,-0.54,-2.85%,18.69,18.8,18.43,4300,12/24/20
RC,"Ready Capital Corp",12.76,0.01,+0.08%,12.77,12.88,12.51,175000,12/24/20
RCII,"Rent-A-Center Inc",38.16,-0.19,-0.50%,38.35,38.35,37.3,229100,12/24/20
RCKT,"Rocket Pharmaceuticals Inc",56.7,-1.31,-2.26%,57.94,58.47,54.64,336000,12/24/20
