Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
JD,Jd.com Inc Ads,84.49,-0.97,-1.14%,83.39,86.66,83.11,12164400,12/24/20
JJSF,J J Snack Foods,156.6,0.27,0.17%,157.19,157.19,154.58,26300,12/24/20
JKHY,Jack Henry & Assoc,157.69,1.76,1.13%,155.9,158.45,155.65,202700,12/24/20
JOBS,51Job Inc,68.05,-2.95,-4.15%,70.67,71.5,67.7,195200,12/24/20
JRVR,James River Gp HD,48.87,-0.25,-0.51%,49.18,49.56,48.61,52600,12/24/20
KALU,Kaiser Aluminum,95.65,2.08,2.22%,94.44,96.11,92.44,65900,12/24/20
KALV,Kalvista Pharmaceuticals Inc,17.52,-0.08,-0.45%,17.6,18.04,17.3,48900,12/24/20
KBAL,Kimball Intl Cl B,12.4,-0.04,-0.32%,12.48,12.52,12.18,78300,12/24/20
KC,Kingsoft Cloud Holdings Limited ADR,45.25,0.29,0.65%,45.46,48.16,44.52,1401500,12/24/20
KDP,Keurig Dr Pepper Inc,31.88,0.27,0.85%,31.6,31.9,31.56,1668700,12/24/20
KELYA,Kelly Svcs Cl A,20.83,0.33,1.61%,20.58,20.91,20.34,35500,12/24/20
KHC,Kraft Heinz Company,34.98,0.18,0.52%,34.79,34.98,34.62,1575900,12/24/20
KIDS,Orthopediatrics Corp,46.31,0.23,0.50%,46.41,46.87,45.95,60700,12/24/20
KLAC,K L A-Tencor Corp,259.08,6.29,2.49%,254.86,259.08,253.97,367200,12/24/20
KLIC,Kulicke and Soffa,32.89,0.01,0.03%,33.9,33.9,32.63,89900,12/24/20
KNSL,Kinsale Capital Group Inc,207.28,-8.76,-4.06%,215.71,218.3,205.04,285900,12/24/20
KOD,Kodiak Sciences Inc,154.03,0.72,0.47%,153.39,156.22,151.3,71600,12/24/20
KOPN,Kopin Cp,2.76,-0.06,-2.13%,2.9,2.91,2.65,1637200,12/24/20
KPTI,Karyopharm Therapeut,15.95,-0.49,-2.98%,16.52,16.61,15.89,1256400,12/24/20
KRNT,Kornit Digital Ord,88.45,-0.65,-0.73%,88.9,88.95,86.6,83200,12/24/20
KRNY,Kearny Financial,10.57,-0.05,-0.47%,10.69,10.72,10.49,129100,12/24/20
KRON,Kronos Bio Inc,35.57,0.72,2.07%,35.27,36.19,34.65,65100,12/24/20
KROS,Keros Therapeutics Inc,78.53,0.78,1.00%,77.83,80.74,77.83,44400,12/24/20
KRTX,Karuna Therapeutics Inc,104.65,0.42,0.40%,104.1,105.71,103.69,44100,12/24/20
KRYS,Krystal Biotech Inc,60.55,-0.05,-0.08%,60.53,62,59.99,35400,12/24/20
KTOS,Kratos Defns,26.4,0.15,0.57%,26.29,26.6,26.12,414300,12/24/20
KURA,Kura Oncology,35.98,-0.08,-0.22%,36.37,37.09,35.84,240800,12/24/20
KYMR,Kymera Therapeutics Inc,86.1,5.52,6.85%,80.7,87.08,79.36,86500,12/24/20
LAMR,Lamar Advertis A,81.39,0.07,0.09%,81.58,81.58,80.67,59800,12/24/20
LANC,Lancaster Colony Cor,174.3,2.15,1.25%,173.26,174.51,172.12,33500,12/24/20
LAUR,Laureate Education Inc,14.96,-0.04,-0.27%,15.01,15.11,14.82,266900,12/24/20
LBAI,Lakeland Bancorp Inc,12.55,-0.03,-0.24%,12.61,12.61,12.4,37200,12/24/20
LBRDA,Liberty Broadbd A,158.75,2.92,1.87%,155.48,158.93,155.48,61200,12/24/20
LBRDK,Liberty Broadbd C,159.43,2.41,1.53%,156.14,159.71,152.95,497500,12/24/20
LBTYA,Liberty Global Ord A,24.36,0.07,0.29%,24.32,24.58,24.22,322300,12/24/20
LBTYK,Liberty Global Ord C,23.79,0.08,0.34%,23.88,24.02,23.59,649000,12/24/20
LECO,Lincoln Elec Hld,118.81,-0.04,-0.03%,119.62,119.62,117.75,72100,12/24/20
LESL,Leslie's Inc,27.48,-0.69,-2.45%,27.91,28.95,26.12,693400,12/24/20
